@empty_phone|empty_phone|neutral|cooperative
Ladestand unterschätzt|Der Bildschirm ist gerade schwarz geworden.|Vor dem Einsteigen waren noch zwei Prozent da.|Ich kann das Telefon erst nach dem Laden wieder öffnen.|Dann halte ich den Nachweis für die weitere Prüfung bereit.
Kälte und Akku|Mein Telefon hat sich draußen plötzlich ausgeschaltet.|In der Tasche wird es gerade wieder wärmer.|Ich versuche einen Neustart, versprechen kann ich nichts.|Danke, ich habe den nächsten Schritt trotz des Ausfalls verstanden.
Ladekabel ohne Anschluss|Ich habe ein Kabel dabei, aber keinen passenden Anschluss gefunden.|Der Stecker passt nicht zu der Buchse an meinem Platz.|Eine andere Möglichkeit zum Vorzeigen habe ich gerade nicht.|Ich räume das Kabel weg und kümmere mich um den Nachweis.
Powerbank leer|Auch meine Reservebatterie ist inzwischen leer.|Ich habe auf der Fahrt schon damit geladen.|Das Gerät zeigt nur noch das leere Batteriesymbol.|Gut, dann weiß ich, wie die Prüfung weitergeht.
Neustart hängt|Seit dem Ausschalten komme ich nicht mehr bis zum Startbildschirm.|Das Ladesymbol erscheint und verschwindet wieder.|Ich brauche einen Moment, um das Gerät neu zu starten.|Ich versuche es weiter, ohne Ihren Weg zu blockieren.
Langer Reisetag|Der Akku hat den langen Reisetag nicht geschafft.|Ich konnte unterwegs bisher nirgends laden.|Ich möchte die Kontrolle klären, auch wenn der Bildschirm aus bleibt.|Die Hinweise zum späteren Vorzeigen habe ich mir gemerkt.
Helligkeit verbraucht Strom|Ich habe die Anzeige draußen heller gestellt; jetzt ist der Akku leer.|Die Karte war kurz vorher noch auf dem Bildschirm.|Ob sich das Telefon noch einmal einschaltet, kann ich nicht sagen.|Dann bewahre ich die Unterlagen für die Klärung auf.
Ladepause unterbrochen|Beim Umsteigen musste ich das Laden abbrechen.|Seitdem geht das Telefon nicht mehr an.|Ich kann Ihnen gerade nur das ausgeschaltete Gerät zeigen.|Ich verstehe, dass das allein noch kein Fahrkartennachweis ist.
Akkuanzeige sprang|Die Anzeige ist eben von zwanzig auf null gesprungen.|Das ist mir mit diesem Gerät schon einmal passiert.|Ich versuche es am Kabel, falls hier eine Buchse frei ist.|Alles klar, ich halte mich an das erklärte Verfahren.
Telefon im Gepäck entladen|Das Telefon lag die ganze Zeit im Rucksack.|Eine Anwendung hat wohl weiter Strom verbraucht.|Ich habe noch nicht herausgefunden, ob es wieder startet.|Danke, ich werde den fehlenden Nachweis gezielt nachreichen.
Falsches Ladekabel|Ich habe versehentlich das Kabel für ein anderes Gerät eingepackt.|Die beiden Anschlüsse sehen ähnlich aus.|Damit bekomme ich dieses Telefon leider nicht geladen.|Ich habe verstanden, welche Unterlage anschließend gebraucht wird.
Ladebuchse belegt|Die erreichbare Buchse war bisher durchgehend besetzt.|Mein Telefon ist inzwischen ausgegangen.|Ich frage gleich nach einer kurzen Ladepause.|Bis dahin folge ich den Schritten für einen nicht vorzeigbaren Nachweis.
Energiesparmodus gescheitert|Ich hatte den Energiesparmodus an, trotzdem ist das Gerät leer.|Die Warnung kam erst beim Öffnen der Fahrkarte.|Ich will es nach einer kurzen Ladezeit erneut versuchen.|Ich melde mich mit dem Nachweis, sobald das wieder möglich ist.
@defective_phone|defective_phone|neutral|cooperative
Gesplittertes Display|Das Glas ist gesprungen und die Anzeige flackert.|Das Telefon ist mir am Bahnsteig heruntergefallen.|Ich kann gerade nicht erkennen, ob der Code vollständig angezeigt wird.|Danke, ich lasse den Schaden und den Nachweis getrennt klären.
Berührung ohne Wirkung|Der Bildschirm reagiert auf keine Berührung mehr.|Die Anzeige läuft, aber ich kann nichts öffnen.|Ich versuche noch den Neustart über die Tasten.|Gut, dann weiß ich, was bei der Kontrolle als Nachweis fehlt.
Feuchtigkeit im Gerät|Seit dem Regenschauer reagiert mein Telefon nicht richtig.|Ich habe es abgetrocknet und nicht weiter geladen.|Ich möchte es nicht noch stärker beschädigen.|Ich kümmere mich um eine sichere Möglichkeit zum Vorzeigen.
Defekte Seitentaste|Die Taste zum Entsperren klemmt.|Das Gerät läuft, aber ich komme nicht zur Anzeige.|Vielleicht funktioniert die andere Entsperrmöglichkeit noch.|Ich probiere das in Ruhe und beachte Ihre Hinweise.
Bildschirm bleibt weiß|Beim Öffnen erscheint nur eine weiße Fläche.|Auch nach dem Schließen ändert sich daran nichts.|Ich kann Ihnen gerade keinen lesbaren Code zeigen.|Danke, die weitere Prüfung ist mir jetzt klar.
Schwarzer Streifen im Code|Ein breiter dunkler Streifen verdeckt die Mitte des Bildschirms.|Er ist auch in anderen Anwendungen zu sehen.|Ich weiß nicht, ob sich die Fahrkarte damit überhaupt lesen lässt.|Dann verlasse ich mich nicht auf diese beschädigte Anzeige.
Gerät überhitzt|Das Telefon zeigt eine Temperaturwarnung und sperrt die Anzeige.|Es lag am Fenster in der Sonne.|Ich lasse es erst abkühlen, bevor ich es erneut öffne.|Ich habe verstanden, dass die Kontrolle dadurch nicht automatisch geklärt ist.
Endlose Startschleife|Das Gerät startet immer wieder von vorn.|Weiter als bis zum Startzeichen komme ich nicht.|Ich kann den Neustart gerade auch nicht stoppen.|Dann sichere ich später den nötigen Nachweis für den Fall.
Lose Ladebuchse|Beim Einstecken wackelt die Buchse im Gerät.|Es lädt nur, solange ich den Stecker festhalte.|Ich möchte nicht im Gang mit dem Kabel hantieren.|Ich setze mich dafür wieder hin und folge dem erklärten Ablauf.
Defekte Kamera nach Reparatur|Nach der Reparatur lassen sich manche Funktionen nicht mehr öffnen.|Auch die Fahrkartenanzeige bleibt dabei hängen.|Ich kann nicht beurteilen, ob das zusammenhängt.|Ich trenne die Gerätefrage von der eigentlichen Fahrkartenprüfung.
Display kaum lesbar|Die Beleuchtung des Bildschirms ist ausgefallen.|Ganz schwach sehe ich noch Umrisse.|Vielleicht ist der Code im Schatten besser zu erkennen.|Danke, wir prüfen erst, ob überhaupt etwas lesbar ist.
Automatische Sperre|Das Telefon sperrt sich sofort nach dem Entsperren wieder.|Ich habe es bereits zweimal versucht.|Ich kann Ihnen den Inhalt so nicht lange genug zeigen.|Ich habe die Möglichkeit zur weiteren Nachweisprüfung verstanden.
Speicherfehler beim Öffnen|Seit heute meldet das Gerät ständig einen Speicherfehler.|Auch andere gespeicherte Dateien lassen sich nicht lesen.|Ich möchte die Fehlermeldung zeigen, ohne private Dateien zu öffnen.|Gut, ich beschränke mich auf den benötigten Fahrkartennachweis.
@technical_issue|technical_issue|neutral|cooperative
Anmeldung abgelaufen|Die Anwendung verlangt plötzlich eine neue Anmeldung.|Das Kennwort wird gerade nicht angenommen.|Ich versuche den Zugang, möchte es aber nicht laut aufsagen.|Natürlich, ich gebe hier keine Zugangsdaten weiter.
Code lädt nicht|Die Fahrkartenübersicht öffnet sich, der Code bleibt leer.|Der Kreis dreht sich seit mehreren Minuten.|Ich kann noch einmal laden, mehr kann ich gerade nicht tun.|Ich verstehe, dass die Ladeanzeige keine Fahrkarte ersetzt.
Falsches Gerät synchronisiert|Auf diesem Telefon fehlt die zuletzt gespeicherte Karte.|Ich habe gestern das Gerät gewechselt.|Ich muss prüfen, ob die Übertragung abgeschlossen wurde.|Danke, ich kläre die Übertragung und den Nachweis getrennt.
Zeitweise kein Netz|Die Anwendung meldet gerade keine Verbindung.|Eine gespeicherte Ansicht finde ich nicht.|Ich probiere es erneut, sobald die Verbindung zurück ist.|Gut, ich weiß, was unabhängig vom Empfang geprüft werden muss.
Datei nicht gefunden|Der Verweis auf meine gespeicherte Datei führt ins Leere.|Vielleicht wurde sie beim Aufräumen verschoben.|Ich suche nur in dem Ordner mit den Reiseunterlagen.|Ich zeige dabei keine anderen persönlichen Dateien.
Aktualisierung beim Start|Die Anwendung verlangt erst eine Aktualisierung.|Vorhin ließ sie sich noch normal öffnen.|Ich weiß nicht, wie lange der Download dauern wird.|Dann gehe ich nach dem erklärten Nachweisverfahren vor.
Kaufbestätigung statt Fahrkarte|Ich finde gerade nur die Bestätigung der Bestellung.|Einen gesonderten Fahrkartencode sehe ich darin nicht.|Ich suche weiter nach dem eigentlichen Dokument.|Danke, ich habe den Unterschied zwischen Bestellung und Fahrkarte verstanden.
Anhang öffnet nicht|Der Anhang lässt sich auf diesem Gerät nicht öffnen.|Es erscheint nur eine Meldung zum Dateiformat.|Ich versuche die dafür vorgesehene Anzeige.|Bis dahin behandle ich den Anhang nicht als bereits geprüften Nachweis.
Doppelte Konten|Ich bin offenbar im falschen Nutzerkonto angemeldet.|Dort sind nur die älteren Fahrten zu sehen.|Ich wechsle das Konto, ohne meine Zugangsdaten zu nennen.|Danke, ich zeige anschließend nur die benötigte Fahrkarte.
Code hinter Hinweis verdeckt|Ein Hinweisfenster liegt über der Fahrkartenanzeige.|Die Schließen-Schaltfläche reagiert gerade nicht.|Ich versuche erst, den Hinweis wegzubekommen.|Gut, wir prüfen den Code, sobald er vollständig sichtbar ist.
Veraltete gespeicherte Ansicht|Die gespeicherte Ansicht zeigt noch die letzte Fahrt.|Ich muss das aktuelle Dokument erst finden.|Ich möchte nicht versehentlich die alte Karte vorzeigen.|Danke, wir beziehen die Prüfung auf diese Fahrt.
Abmeldung nach Neustart|Nach dem Neustart wurde ich aus der Anwendung abgemeldet.|Die Fahrkarten waren vorher direkt erreichbar.|Ich versuche, den vorgesehenen Zugang wiederherzustellen.|Ich habe verstanden, dass die Anmeldung selbst keinen Nachweis liefert.
Übertragung bleibt stehen|Die Übertragung der Fahrkarte bleibt bei derselben Stelle stehen.|Ein erneuter Versuch hat noch nichts geändert.|Ich kann den Fehler zeigen, aber keinen fertigen Code.|Dann halten wir fest, dass der Nachweis noch aussteht.
@admission|admission|friendly|cooperative
Kauf vergessen|Ich habe vor dem Einsteigen den Kauf vergessen.|Ich war mit dem Umstieg beschäftigt und habe nicht mehr daran gedacht.|Ich möchte das jetzt ordentlich klären.|Danke, ich habe die nächsten Schritte zur Klärung verstanden.
Falschen Tag gewählt|Mir fällt gerade auf, dass ich den falschen Tag ausgewählt habe.|Ich hatte mehrere Reisedaten nebeneinander offen.|Bitte prüfen Sie, was für diese Fahrt tatsächlich gilt.|Gut, ich verlasse mich auf die Prüfung des konkreten Dokuments.
Strecke zu kurz gewählt|Ich habe möglicherweise nur bis zum vorherigen Halt gekauft.|Die beiden Zielnamen habe ich beim Auswählen verwechselt.|Ich möchte Ihnen die Auswahl offen zeigen.|Danke, wir klären die tatsächlich abgedeckte Strecke.
Mitnahme falsch eingeschätzt|Ich dachte, bei dieser Fahrt mitfahren zu dürfen.|Die genauen Bedingungen habe ich nicht kontrolliert.|Ich zeige Ihnen, worauf ich mich dabei gestützt habe.|Ich habe verstanden, dass die Bedingungen zuerst geprüft werden.
Alte Karte eingesteckt|In meiner Tasche steckt noch die Karte von gestern.|Die für heute habe ich offenbar nicht dabei.|Ich möchte nicht so tun, als wäre das dieselbe Fahrt.|Danke, ich bleibe bei den Unterlagen für den heutigen Fall.
Reservierung verwechselt|Ich habe erst jetzt gesehen, dass das nur eine Reservierung ist.|Ich hielt die Buchung für die gesamte Reiseberechtigung.|Bitte erklären Sie mir, welches Dokument noch fehlt.|Gut, die Reservierung und die Fahrkarte sind für mich jetzt getrennt.
Entwertung übersehen|Ich habe möglicherweise einen erforderlichen Schritt ausgelassen.|Auf der Karte steht ein Hinweis, den ich vorhin überlesen habe.|Bitte prüfen Sie erst, ob er hier tatsächlich gilt.|Danke, wir entscheiden anhand der Bedingungen dieser Karte.
Falsche Wagenklasse|Ich bin hier eingestiegen, ohne auf die Klasse zu achten.|Auf meinem Dokument ist eine andere Angabe.|Ich möchte prüfen lassen, was ich damit nutzen darf.|Gut, ich folge der geprüften Berechtigung für diese Fahrt.
Kauf nicht abgeschlossen|Ich habe den Einkaufskorb geschlossen, bevor die Bestätigung kam.|Erst bei Ihrer Frage ist mir das aufgefallen.|Ich möchte den tatsächlichen Buchungsstand prüfen lassen.|Danke, wir gehen von den vorhandenen Belegen aus.
Gültigkeit vorschnell angenommen|Ich habe die Gültigkeit meiner Karte nicht genau gelesen.|Sie könnte vor Beginn dieser Fahrt abgelaufen sein.|Ich zeige Ihnen die Angaben, statt darüber zu raten.|Gut, das angegebene Ende wird jetzt konkret geprüft.
Falsche Richtung gebucht|Ich habe beim Kauf Start und Ziel vertauscht.|Ob die Karte trotzdem passt, weiß ich nicht.|Bitte prüfen Sie die aufgedruckte Strecke.|Danke, ich verlasse mich nicht auf meine erste Vermutung.
Ermäßigung ungeprüft gewählt|Ich habe eine Ermäßigung gewählt, ohne den nötigen Nachweis zu prüfen.|Den passenden Nachweis kann ich gerade nicht finden.|Ich möchte offen klären, welche Berechtigung erforderlich ist.|Gut, wir prüfen Fahrkarte und Ermäßigungsnachweis zusammen.
Anschluss nicht mitgekauft|Ich habe nur den ersten Teil der Reise im Blick gehabt.|Dieser Anschluss könnte in meiner Buchung fehlen.|Ich zeige Ihnen die gesamte vorhandene Reiseunterlage.|Danke, wir klären genau den Abschnitt, auf dem ich jetzt mitfahre.
@misunderstanding|misunderstanding|neutral|cooperative
Datum über Mitternacht|Ich bin unsicher, welcher Reisetag nach Mitternacht zählt.|Die Fahrt begann für mich noch gestern.|Können wir das Gültigkeitsende auf der Karte gemeinsam prüfen?|Danke, die aufgedruckte Zeit ist für die Klärung entscheidend.
Tarifgrenze am Umstieg|Ich dachte, die Karte gelte nach dem Umstieg weiter.|Die Grenze der abgedeckten Strecke war mir nicht klar.|Ich zeige Ihnen die gewählte Verbindung.|Gut, wir prüfen den Geltungsbereich auf diesem Abschnitt.
Ähnliche Zielnamen|Die beiden Zielnamen unterscheiden sich nur wenig.|Ich bin deshalb unsicher, welchen ich ausgewählt habe.|Bitte sehen Sie sich die vollständige Ortsangabe an.|Danke, ich achte bei der Klärung auf die genaue Bezeichnung.
Zeitkarte und Schnellverbindung|Ich wusste nicht, ob meine Zeitkarte hier anerkannt wird.|Ich bin einfach der angezeigten Verbindung gefolgt.|Können Sie die Bedingungen für diesen Zug prüfen?|Gut, die Verbindungsauskunft allein entscheidet das nicht.
Gruppenregel unklar|Ich bin mir bei der Gruppengröße nicht sicher.|Wir haben vor der Fahrt die Angaben unterschiedlich verstanden.|Ich möchte die konkrete Regel auf dem Dokument klären.|Danke, wir bleiben bei der tatsächlich gebuchten Berechtigung.
Beginn der Gültigkeit|Auf der Karte steht eine Uhrzeit, die ich übersehen habe.|Ich dachte, das Datum allein reiche aus.|Bitte prüfen Sie, ab wann sie verwendet werden darf.|Gut, ich berücksichtige künftig auch den angegebenen Beginn.
Fahrrad und Personenkarte|Ich habe zuerst nur an das Fahrraddokument gedacht.|Welche Unterlage mich selbst abdeckt, möchte ich noch zeigen.|Lassen Sie uns beide Berechtigungen getrennt ansehen.|Danke, die beiden Prüfungen sind jetzt klar auseinandergehalten.
Unterbrechung der Reise|Ich habe unterwegs eine längere Pause gemacht.|Ich wusste nicht, ob das die Gültigkeit verändert.|Die zeitlichen Angaben finden Sie auf meiner Karte.|Gut, wir prüfen die zulässige Reiseunterbrechung anhand der Bedingungen.
Verbindung gewechselt|Ich habe eine andere Verbindung genommen als zuerst geplant.|Ob die Karte daran gebunden ist, kann ich nicht sagen.|Ich möchte die Bindung vor weiteren Entscheidungen prüfen lassen.|Danke, wir klären zuerst die tatsächlich geltenden Bedingungen.
Ermäßigungsnachweis separat|Ich dachte, der Nachweis stehe schon vollständig auf der Fahrkarte.|Eine zusätzliche Unterlage habe ich nicht geöffnet.|Ich schaue nach, was dafür tatsächlich verlangt wird.|Gut, ich zeige nur den erforderlichen zusätzlichen Nachweis.
Digitales Original und Bild|Ich war davon ausgegangen, dass dieses gespeicherte Bild genügt.|Das Originaldokument liegt an anderer Stelle.|Ich öffne es, damit die vorgesehene Prüfung möglich ist.|Danke, wir verwenden den prüfbaren Nachweis.
Rückfahrtbedingungen|Ich dachte, die Rückfahrt sei automatisch eingeschlossen.|Eine gesonderte Angabe habe ich noch nicht gefunden.|Bitte prüfen Sie die Reichweite meiner Buchung.|Gut, wir klären die Rückfahrt anhand des vorhandenen Dokuments.
Mitternachtsende überlesen|Ich habe das Ende des Gültigkeitstags anders verstanden.|Die kleine Zeitangabe ist mir erst jetzt aufgefallen.|Lassen Sie uns das konkrete Ende ansehen.|Danke, ich orientiere mich anschließend an der geprüften Zeit.
@excuse|excuse|neutral|evasive
Angeblich schon kontrolliert|Es hat doch vorhin schon jemand nach meiner Karte gefragt.|Ich kann nicht sagen, ob die Prüfung abgeschlossen war.|Muss ich das Dokument dafür wirklich noch einmal öffnen?|Gut, ich habe verstanden, dass diese Kontrolle einen eigenen Nachweis braucht.
